名次,昵称,组别,总分,最后提交时间
88,inZane(终于不用写wp) #吾心吾行黑如墨镜,北京大学（新生）,1706,2025-10-22 23:41:09
89,Simplxs,校外选手,1668,2025-10-22 20:44:56
90,莎布·拉姬,清华大学,1655,2025-10-23 14:12:09
91,如果在我上面说明你有机会写WP（已摆烂）,北京大学（新生）,1651,2025-10-23 23:24:22
92,intlsy,校外选手,1631,2025-10-21 13:24:03
93,原神启动！,北京大学（新生）,1626,2025-10-23 23:00:19
94,Mnzn #会打GeekGame到底是什么感觉...,校外选手,1622,2025-10-23 12:18:55
95,1010,校外选手,1567,2025-10-22 18:20:11
96,我看不如Galgame #我要成为炒币领域大神,北京大学,1552,2025-10-24 17:50:39
97,请收看舞冰的祈愿 #今年没空打呜呜呜,北京大学,1547,2025-10-24 00:13:01
98,CHISAKI #若叶睦激推,北京大学,1519,2025-10-22 18:23:26
99,flying_doraemon #萌新拼尽全力无法战胜！,北京大学,1515,2025-10-24 15:02:25
100,404 student,北京大学,1514,2025-10-23 21:18:24
101,Flying_Craft #小登和大佬们赛博合影~,北京大学（新生）,1490,2025-10-22 21:27:56
102,dblark,北京大学,1481,2025-10-22 23:16:01
103,#所以我退出了比赛,校外选手,1473,2025-10-18 15:58:16
104,tsingtsing burger #来个汉堡吗,清华大学,1470,2025-10-24 17:51:04
105,Aengim7,校外选手,1449,2025-10-22 18:22:17
106,zysgmzb,校外选手,1448,2025-10-22 10:26:39
107,TruE #只做签到……吗？,校外选手,1440,2025-10-20 23:25:43
108,milky,清华大学,1423,2025-10-24 16:19:42
109,Eureka,北京大学,1422,2025-10-22 13:46:45
110,Rowan,北京大学,1414,2025-10-24 16:51:55
111,kemurikkinoko,清华大学,1411,2025-10-24 12:49:14
112,Suyun #哈基山的曼波打不打瓦,校外选手,1402,2025-10-22 20:24:30
113,hicode002,校外选手,1391,2025-10-21 20:36:29
114,ACA4DFA4,校外选手,1389,2025-10-24 11:05:40
115,Alex,校外选手,1384,2025-10-23 22:29:05
116,葛城莉莉娅的老公 #打不过H16-4,校外选手,1383,2025-10-22 21:42:59
117,DarkTooth,清华大学,1382,2025-10-24 07:42:02
118,951413,清华大学,1373,2025-10-23 20:59:24
119,Jie,北京大学,1367,2025-10-23 17:01:29
120,122qweswd,清华大学,1355,2025-10-24 17:49:18
121,tytyz,清华大学,1336,2025-10-24 17:46:22
122,啊？,清华大学,1335,2025-10-22 21:11:32
123,南门阳德,清华大学（新生）,1331,2025-10-24 17:12:43
124,ber #gg,北京大学,1325,2025-10-24 17:40:11
125,positive1,北京大学（新生）,1322,2025-10-22 17:53:51
126,Solicey #失敗した失敗した失敗した,北京大学,1319,2025-10-24 12:47:57
127,zirno81,清华大学,1307,2025-10-23 22:06:48
128,ying_hua #233,北京大学,1288,2025-10-24 17:49:29
129,dycast,北京大学,1272,2025-10-24 08:50:44
130,Violet,校外选手,1239,2025-10-21 01:52:57
131,a12387,北京大学,1222,2025-10-23 17:02:46
132,JOHNKRAM,校外选手,1217,2025-10-21 14:48:50
133,杂食.A1,校外选手,1208,2025-10-19 19:16:20
134,woodwhale,校外选手,1200,2025-10-23 16:54:10
135,Hatsune Miku #ミク天下第一,校外选手,1177,2025-10-24 03:20:24
136,EvilNeuro,校外选手,1174,2025-10-22 23:18:43
137,acbb,北京大学,1142,2025-10-23 18:55:15
138,cczzy,北京大学,1127,2025-10-23 22:57:42
139,累了喵 #校外了喵,校外选手,1099,2025-10-22 15:39:32
140,RenzukaCtone #好累啊唉唉唉,校外选手,1086,2025-10-19 16:28:26
141,ぐるぐる帝国,清华大学,1012,2025-10-22 15:19:33
142,outerform,北京大学,998,2025-10-22 02:30:56
143,三角洲经济学教父教的,校外选手,995,2025-10-24 14:33:47
144,妈船 #喵拉喵丘喵了喵,校外选手,984,2025-10-24 15:17:49
145,GeekGame11451 #魔理沙偷走了重要的flag,校外选手,979,2025-10-24 01:50:52
146,Pologue #唉剩下不会做,校外选手,956,2025-10-22 21:46:17
147,adwadwardF,清华大学,952,2025-10-22 23:28:23
148,P31pr,清华大学,946,2025-10-24 16:52:47
149,nadphatp,清华大学,928,2025-10-23 23:16:27
150,NO_MYPCCC,校外选手,925,2025-10-23 23:09:51
151,wululu,校外选手,912,2025-10-24 14:02:01
152,hosilite,北京大学,897,2025-10-22 20:11:10
153,emm...,校外选手,890,2025-10-19 22:33:36
154,zyn,校外选手,886,2025-10-24 17:07:18
155,Coff0xc,校外选手,875,2025-10-21 05:29:48
156,Ren,校外选手,848,2025-10-23 14:34:25
157,Acpear,校外选手,831,2025-10-20 02:55:56
158,Spark,校外选手,826,2025-10-24 16:06:07
159,TurboHsu,校外选手,773,2025-10-22 11:42:07
160,poppy,北京大学,772,2025-10-20 01:39:23
161,AquariusLee #花园的小曲,北京大学（新生）,763,2025-10-24 02:59:36
162,pthsm,校外选手,747,2025-10-23 23:20:48
163,shenm1ren #池塘里有十朵莲，我采一朵,清华大学,745,2025-10-23 23:58:29
164,悬疑,北京大学,741,2025-10-18 22:44:33
165,WuYan,校外选手,740,2025-10-20 20:44:12
166,eleven_mile,北京大学,715,2025-10-22 16:09:09
167,花咻的快乐生活,校外选手,714,2025-10-22 11:22:53
168,魔审糕手,校外选手,710,2025-10-21 23:12:55
169,Rekjo,校外选手,699,2025-10-22 09:28:19
170,账户 #1029,校外选手,698,2025-10-24 03:34:27
171,qq1945553176,校外选手,688,2025-10-18 16:23:10
172,羊城,校外选手,675,2025-10-23 00:36:12
173,Xulqux,北京大学（新生）,672,2025-10-24 15:00:04
174,圆周率,校外选手,663,2025-10-24 00:22:07
175,SpMv,校外选手,652,2025-10-20 13:37:30
176,雏鹰飞天 #请关注o!mLN4 及 osu世界杯,校外选手,646,2025-10-20 21:30:36
177,梅兰竹音,清华大学,642,2025-10-22 20:52:16
178,Heisenbug,清华大学,630,2025-10-20 13:41:07
179,ETW_Zero,校外选手,623,2025-10-22 18:06:23
180,r0ngy40,北京大学,621,2025-10-20 21:41:05
181,Yuisis,校外选手,621,2025-10-23 16:23:33
182,misaka,校外选手,620,2025-10-18 01:50:28
183,基米 #哈！,校外选手,609,2025-10-21 03:49:21
184,喵嘟嘟嘟子 #求教教,校外选手,596,2025-10-19 23:06:40
185,teerw,北京大学,592,2025-10-22 20:15:49
186,stellalyRin,校外选手,589,2025-10-20 22:42:21
187,goldenage,校外选手,588,2025-10-22 22:03:11
188,阴暗靠窗角落工位被占|我要吊死在公司门口,校外选手,581,2025-10-22 09:23:50
189,stepbystepcode #山西大学冲,校外选手,575,2025-10-18 00:02:23
190,AibohDij,北京大学,575,2025-10-18 23:45:58
191,39ctf,校外选手,559,2025-10-23 11:40:42
192,Carixte,清华大学,548,2025-10-22 21:56:58
193,whateverer,校外选手,540,2025-10-17 23:17:29
194,水帝WaterKing,北京大学,537,2025-10-18 14:56:54
195,夏鸢 #月下梦中思鸢影 #我连签到都不会,校外选手,531,2025-10-18 17:30:02
196,GWDx,校外选手,527,2025-10-22 22:10:51
197,wang1r,校外选手,527,2025-10-23 14:45:40
198,你是谁？  #来玩魔法少女的魔女审判！,北京大学,522,2025-10-19 00:13:13
199,Nick #前轱辘转后轱辘不转思密达,校外选手,520,2025-10-18 13:49:28
200,戈沃·弗拉格,清华大学,509,2025-10-24 13:08:49
